fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location
94c0819fde11364d,Devin Clark,cc7040fe76f0ef91,Dequan Townsend,3f7dab21b6c971bc,Devin Clark,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Light Heavyweight Bout,"February 15, 2020","Rio Rancho, New Mexico, USA"
f3e2038bfb9b5d9d,Jim Miller,d1941565abf50b16,Scott Holtzman,df1eb4354d18a906,Scott Holtzman,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lightweight Bout,"February 15, 2020","Rio Rancho, New Mexico, USA"
08426f06239d903c,John Dodson,99506df1af6c8b3b,Nathaniel Wood,329e403448756217,John Dodson,KO/TKO,3,0:16,3 Rnd (5-5-5),Bantamweight Bout,"February 15, 2020","Rio Rancho, New Mexico, USA"
2dc48a745d6c662b,Tim Means,4b47e71384a9522f,Daniel Rodriguez,8a1f3b5c526cd6e6,Daniel Rodriguez,Submission,2,3:37,3 Rnd (5-5-5),Welterweight Bout,"February 15, 2020","Rio Rancho, New Mexico, USA"
eab100e978c730c5,Lando Vannata,f9b200db02b488d9,Yancy Medeiros,813550bc53b15fb0,Lando Vannata,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lightweight Bout,"February 15, 2020","Rio Rancho, New Mexico, USA"
b41e3be867afd6fa,Rogerio Bontorin,07a2bdaa0afdd831,Ray Borg,a4de54ea806fb525,Ray Borg,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Flyweight Bout,"February 15, 2020","Rio Rancho, New Mexico, USA"
9d98e1c0d62213cf,Brok Weaver,7c9f96f9a6a5cd50,Kazula Vargas,ec18eb918121787c,Brok Weaver,DQ,1,4:02,3 Rnd (5-5-5),Lightweight Bout,"February 15, 2020","Rio Rancho, New Mexico, USA"
96919cf8d3e988ff,Montana De La Rosa,80d8aed0ca9b00f3,Mara Romero Borella,82cbb809d5ee565c,Montana De La Rosa,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,"February 15, 2020","Rio Rancho, New Mexico, USA"
a02ffaf1fe462d28,Diego Sanchez,82e7929bf6c2b689,Michel Pereira,595db60957de51d3,Diego Sanchez,DQ,3,3:09,3 Rnd (5-5-5),Welterweight Bout,"February 15, 2020","Rio Rancho, New Mexico, USA"
801b3f24c670f19a,Corey Anderson,5e4eec08896c9423,Jan Blachowicz,99df7d0a2a08a8a8,Jan Blachowicz,KO/TKO,1,3:08,5 Rnd (5-5-5-5-5),Light Heavyweight Bout,"February 15, 2020","Rio Rancho, New Mexico, USA"
326b843cb2b7fd94,Andre Ewell,5f6f049d54728e88,Jonathan Martinez,f2477cf43c4975cc,Andre Ewell,Decision - Split,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"February 08, 2020","Houston, Texas, USA"
5ab2a4fec735e0b2,Domingo Pilarte,4bf6b225ff6099c4,Journey Newson,78f485f851891d68,NC,Overturned,1,0:38,3 Rnd (5-5-5),Bantamweight Bout,"February 08, 2020","Houston, Texas, USA"
d3f44fedc561d2d5,Miles Johns,46e0d677f91bacc0,Mario Bautista,bc711b6dd95c1af6,Mario Bautista,KO/TKO,2,1:41,3 Rnd (5-5-5),Bantamweight Bout,"February 08, 2020","Houston, Texas, USA"
ed499508be1e5532,Alex Morono,cdb96af67d096b1e,Khaos Williams,2558ae2e5671e318,Khaos Williams,KO/TKO,1,0:27,3 Rnd (5-5-5),Welterweight Bout,"February 08, 2020","Houston, Texas, USA"
cb56e868deaddac4,Lauren Murphy,729d4bd5a6cd0a97,Andrea Lee,05fa626cb33d15b8,Lauren Murphy,Decision - Split,3,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,"February 08, 2020","Houston, Texas, USA"
11f7bac5037a184c,Trevin Giles,b27a1fcb56a3035a,James Krause,8f6a18831a120817,Trevin Giles,Decision - Split,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"February 08, 2020","Houston, Texas, USA"
cefb47bcc04f540e,Derrick Lewis,d3df1add9d9a7efb,Ilir Latifi,e9a3aeb207578eea,Derrick Lewis,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Heavyweight Bout,"February 08, 2020","Houston, Texas, USA"
be822403f364fff3,Mirsad Bektic,cbd3e590a85b18c5,Dan Ige,82a5152216251682,Dan Ige,Decision - Split,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"February 08, 2020","Houston, Texas, USA"
57961c6adebfb13d,Juan Adams,83b00f7597e5ac83,Justin Tafa,e13abac8089a801a,Justin Tafa,KO/TKO,1,1:59,3 Rnd (5-5-5),Heavyweight Bout,"February 08, 2020","Houston, Texas, USA"
05cceae674c81b86,Valentina Shevchenko,132deb59abae64b1,Katlyn Chookagian,e872e9a9a902c045,Valentina Shevchenko,KO/TKO,3,1:03,5 Rnd (5-5-5-5-5),UFC Women's Flyweight Title Bout,"February 08, 2020","Houston, Texas, USA"
fae99a4089f8abb0,Jon Jones,07f72a2a7591b409,Dominick Reyes,2e19380f34871c6a,Jon Jones,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),UFC Light Heavyweight Title Bout,"February 08, 2020","Houston, Texas, USA"
918c2efc59c1952e,Brett Johns,ec52462a1b41f714,Tony Gravely,601964f9654f911a,Brett Johns,Submission,3,2:53,3 Rnd (5-5-5),Bantamweight Bout,"January 25, 2020","Raleigh, North Carolina, USA"
79161bde28636128,Sara McMann,7be74a12d7352df2,Lina Lansberg,2eeaefbfc7f9fcff,Sara McMann,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,"January 25, 2020","Raleigh, North Carolina, USA"
737e2781e4a7db5c,Montel Jackson,cc1a8b4b38b92c6d,Felipe Colares,dbac0a413af64bbe,Montel Jackson,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"January 25, 2020","Raleigh, North Carolina, USA"
151c2bd6dfefb4b5,Justine Kish,928ae2e5b5f7a9ec,Lucie Pudilova,3cf66c62d9069f43,Justine Kish,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,"January 25, 2020","Raleigh, North Carolina, USA"
ed94cdc0f2b97e15,Arnold Allen,040a74bb0a465c54,Nik Lentz,6fb1ba67bef41b37,Arnold Allen,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"January 25, 2020","Raleigh, North Carolina, USA"
3fd3b871e83434c5,Bevon Lewis,899923ff6ab13917,Dequan Townsend,3f7dab21b6c971bc,Bevon Lewis,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"January 25, 2020","Raleigh, North Carolina, USA"
6195d3e7c412c8a2,Jamahal Hill,5444c5a201d3ee5a,Darko Stosic,025f0b1b58fbad01,Jamahal Hill,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Light Heavyweight Bout,"January 25, 2020","Raleigh, North Carolina, USA"
b88b170a7fe40544,Hannah Cifers,2244d9a2b64b8c3b,Angela Hill,f0feeb2192937424,Angela Hill,KO/TKO,2,4:26,3 Rnd (5-5-5),Women's Strawweight Bout,"January 25, 2020","Raleigh, North Carolina, USA"
7dcd5d8a44a284e5,Jordan Espinosa,215a70f073a7b726,Alex Perez,ab2b4ff41d6ebe0f,Alex Perez,Submission,1,2:33,3 Rnd (5-5-5),Flyweight Bout,"January 25, 2020","Raleigh, North Carolina, USA"
2ef54419defb2364,Rafael Dos Anjos,6a2f7c151031653d,Michael Chiesa,c58f51dedb310998,Michael Chiesa,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"January 25, 2020","Raleigh, North Carolina, USA"
037d2f426c916ffc,Curtis Blaydes,fa6796c55d6c5440,Junior Dos Santos,63def5a5662a6917,Curtis Blaydes,KO/TKO,2,1:06,5 Rnd (5-5-5-5-5),Heavyweight Bout,"January 25, 2020","Raleigh, North Carolina, USA"
6087c50c5f95a677,Aleksa Camur,c2a670b22d2e196f,Justin Ledet,ba1e6cb3d43f7430,Aleksa Camur,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Light Heavyweight Bout,"January 18, 2020","Las Vegas, Nevada, USA"
63dd38f0dcc2ee88,Drew Dober,519e4fe37ce9ff75,Nasrat Haqparast,b7b84ccd221be298,Drew Dober,KO/TKO,1,1:10,3 Rnd (5-5-5),Lightweight Bout,"January 18, 2020","Las Vegas, Nevada, USA"
ff467a5f06a91a0f,Tim Elliott,c96d9178c9ed9e62,Askar Askarov,b1d19449397541dc,Askar Askarov,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Flyweight Bout,"January 18, 2020","Las Vegas, Nevada, USA"
5868c154789648f0,Andre Fili,8fd808923cffff82,Sodiq Yusuff,94426bb170c88115,Sodiq Yusuff,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"January 18, 2020","Las Vegas, Nevada, USA"
760b5b16b4931a77,Roxanne Modafferi,4498b382c65a7faa,Maycee Barber,6a740daf1b279661,Roxanne Modafferi,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,"January 18, 2020","Las Vegas, Nevada, USA"
32a8f38bd1d46e3e,Anthony Pettis,cbb682f5fcc44bfc,Diego Ferreira,f53d4f21d1b5f2dc,Diego Ferreira,Submission,2,1:46,3 Rnd (5-5-5),Lightweight Bout,"January 18, 2020","Las Vegas, Nevada, USA"
4eff0432bd364a23,Brian Kelleher,7be14eaed4c74856,Ode Osbourne,6d68c1afe954f121,Brian Kelleher,Submission,1,2:49,3 Rnd (5-5-5),Bantamweight Bout,"January 18, 2020","Las Vegas, Nevada, USA"
702759500d47a059,Aleksei Oleinik,98c23cb6da5b3352,Maurice Greene,068f8a189a47fea6,Aleksei Oleinik,Submission,2,4:38,3 Rnd (5-5-5),Heavyweight Bout,"January 18, 2020","Las Vegas, Nevada, USA"
36032308b7e86fd0,Holly Holm,634e2fb70bde3fd5,Raquel Pennington,fc169c387b4b465d,Holly Holm,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,"January 18, 2020","Las Vegas, Nevada, USA"
eed6c9aff2234b7a,Conor McGregor,f4c49976c75c5ab2,Donald Cerrone,1d00756835ca67c9,Conor McGregor,KO/TKO,1,0:40,5 Rnd (5-5-5-5-5),Welterweight Bout,"January 18, 2020","Las Vegas, Nevada, USA"
76b9a338597fc604,Jamall Emmers,e00a3dee329a51f7,Vince Cachero,ed2a8cc402173781,Jamall Emmers,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"August 01, 2020","Las Vegas, Nevada, USA"
6ba9f6a7a9361354,Johnny Munoz,f6bcbd91b114ff58,Nate Maness,6e9f40c706f91f32,Nate Maness,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"August 01, 2020","Las Vegas, Nevada, USA"
94b48b98d0292720,Frankie Saenz,9ba2226646046b63,Jonathan Martinez,f2477cf43c4975cc,Jonathan Martinez,KO/TKO,3,0:57,3 Rnd (5-5-5),Bantamweight Bout,"August 01, 2020","Las Vegas, Nevada, USA"
0b21755eb0897396,Lando Vannata,f9b200db02b488d9,Bobby Green,887961364be5ceb3,Bobby Green,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lightweight Bout,"August 01, 2020","Las Vegas, Nevada, USA"
2fb1abeb337e0ccc,Vicente Luque,6d4b63c767106d3a,Randy Brown,c6aee362c7a7d482,Vicente Luque,KO/TKO,2,4:56,3 Rnd (5-5-5),Welterweight Bout,"August 01, 2020","Las Vegas, Nevada, USA"
